uce,ominor,obimaculoides,lpealeii,ovulgaris,pcanaliculata
uce-27551,1,1,1,1,1
uce-8495,1,1,1,1,.
uce-7833,.,.,1,1,.
uce-5986,1,1,1,1,.
uce-8496,1,1,1,1,1
uce-31757,.,.,.,.,.
uce-27799,1,1,1,1,1
uce-31755,.,.,.,.,.
uce-31754,.,.,.,.,.
uce-27796,1,1,1,1,.
uce-31758,.,.,1,.,.
uce-8499,1,1,1,1,.
uce-15774,1,1,1,1,1
uce-34871,.,1,1,1,1
uce-5691,1,1,1,1,1
uce-32057,1,1,1,1,1
uce-24594,1,1,1,1,.
uce-24593,1,1,1,1,.
uce-34877,1,1,1,1,.
uce-7994,1,1,1,1,1
uce-23485,.,.,.,.,.
uce-32058,1,1,1,1,.
uce-4056,1,1,1,1,.
uce-25628,1,1,1,1,.
uce-5433,.,.,.,.,.
uce-27211,.,.,.,.,.
uce-25621,1,1,.,1,1
uce-25626,1,1,1,.,1
uce-25627,1,1,1,1,1
uce-25625,1,1,1,.,1
uce-30974,.,1,1,1,1
uce-4902,1,1,.,1,1
uce-30970,1,1,1,1,.
uce-4906,1,1,1,1,.
uce-33846,1,1,1,1,1
uce-31187,1,1,1,1,.
uce-17851,1,1,1,1,1
uce-8789,1,1,1,1,1
uce-15615,1,1,1,1,.
uce-15616,1,1,1,1,1
uce-15617,1,1,1,1,.
uce-14749,1,1,1,1,.
uce-15612,1,1,1,1,.
uce-15613,1,1,1,1,1
uce-16857,1,1,1,1,.
uce-37975,1,1,1,1,.
uce-14743,.,1,1,1,1
uce-27480,1,1,1,1,1
uce-9694,1,1,1,1,1
uce-12515,1,1,1,1,1
uce-26917,1,1,1,1,1
uce-36116,1,1,1,1,.
uce-12511,1,1,1,1,1
uce-36119,1,1,1,1,.
uce-24460,1,1,1,1,1
uce-20428,1,1,1,1,1
uce-21239,1,1,1,1,1
uce-38487,1,1,1,1,.
uce-11084,1,1,1,1,.
uce-12167,1,1,1,1,1
uce-24663,.,1,1,1,1
uce-19491,.,1,1,1,1
uce-16980,1,1,1,1,1
uce-40727,1,1,1,1,1
uce-26344,1,.,.,.,1
uce-17589,1,1,1,1,.
uce-3846,1,1,1,1,1
uce-40725,1,1,1,1,.
uce-33389,1,1,1,1,.
uce-3842,1,1,1,1,.
uce-17580,1,1,1,1,1
uce-25886,1,1,1,1,.
uce-701,.,1,1,1,.
uce-25880,1,1,.,1,1
uce-26340,1,1,1,1,1
uce-15503,1,1,1,1,.
uce-36231,1,1,1,1,1
uce-36230,1,1,.,1,1
uce-1946,1,1,1,1,.
uce-25889,1,1,1,1,1
uce-32222,1,1,.,1,1
uce-35903,.,.,1,.,.
uce-40729,.,1,1,1,1
uce-32226,1,1,1,1,.
uce-35907,1,1,1,1,1
uce-2644,.,.,.,.,.
uce-32225,1,1,1,1,.
uce-12202,1,1,1,1,.
uce-27831,1,1,1,1,1
uce-35908,1,.,1,1,1
uce-32229,.,1,1,1,1
uce-13535,1,1,1,1,.
uce-36695,.,.,.,.,.
uce-25606,1,1,.,1,.
uce-26689,.,1,1,1,.
uce-7239,1,1,1,1,.
uce-14699,.,1,.,.,.
uce-14698,.,1,1,1,1
uce-10491,1,1,.,1,1
uce-14692,1,1,1,1,.
uce-3207,.,.,1,.,.
uce-3206,1,1,1,1,.
uce-28598,.,1,1,1,1
uce-14484,.,.,.,.,1
uce-25088,1,1,1,1,.
uce-40702,1,1,1,1,.
uce-25083,1,1,1,1,.
uce-27812,1,1,1,1,.
uce-27810,1,1,1,1,.
uce-33066,1,1,.,1,.
uce-33065,1,1,1,1,.
uce-16468,1,1,1,1,1
uce-38646,1,1,1,1,1
uce-27819,1,1,1,1,.
uce-38748,1,1,1,1,1
uce-30750,1,1,.,1,1
uce-40811,.,.,.,.,1
uce-12347,.,1,1,1,1
uce-30999,.,1,1,1,1
uce-652,1,1,1,1,.
uce-678,1,1,1,1,.
uce-16321,1,1,1,.,1
uce-30993,1,1,1,1,.
uce-30990,1,1,1,1,.
uce-675,1,1,1,1,1
uce-36149,.,.,.,.,1
uce-38232,1,1,1,1,.
uce-40384,1,1,1,1,.
uce-40385,.,1,1,1,.
uce-28915,1,1,1,1,.
uce-16825,.,.,1,.,.
uce-28912,1,1,.,1,.
uce-12368,1,1,1,1,1
uce-29424,1,1,1,1,.
uce-23113,1,1,1,1,.
uce-15986,1,1,1,1,.
uce-23111,1,1,1,1,.
uce-24919,.,1,1,1,1
uce-7769,1,1,1,1,.
uce-40569,.,.,.,.,.
uce-16090,1,1,1,1,.
uce-40564,.,.,1,.,.
uce-40565,.,.,.,.,.
uce-40566,.,.,.,.,.
uce-40567,.,.,.,.,.
uce-24914,1,1,1,1,1
uce-9031,1,1,1,1,1
uce-29354,1,1,1,1,1
uce-9037,1,.,.,.,.
uce-7560,1,1,1,1,.
uce-9039,1,1,1,1,.
uce-37744,1,1,1,1,.
uce-7564,.,.,1,.,.
uce-7565,.,.,1,.,.
uce-36697,.,.,.,.,1
uce-36696,.,.,.,.,.
uce-16060,1,1,1,1,.
uce-14676,1,1,1,1,.
uce-36692,1,1,1,1,1
uce-21741,1,1,1,1,.
uce-21740,1,1,1,1,1
uce-16069,1,1,1,1,.
uce-21745,1,1,1,1,.
uce-18345,1,1,1,1,.
